Date,Impressions,Clicks,Earning
6/1/17,"139,237",37,227.21
6/2/17,"149,582",55,234.71
6/3/17,"457,425",132,211.48
6/4/17,"466,870",141,298.40
6/5/17,"472,385",194,281.35
6/6/17,"438,653",153,273.21
6/7/17,"423,614",155,283.66
6/8/17,"112,449",62,223.89
6/9/17,"126,651",50,297.97
6/10/17,"453,405",135,291.16
6/11/17,"461,418",140,209.42
6/12/17,"436,383",135,258.28
6/13/17,"424,476",143,242.72
6/14/17,"314,817",103,283.95
6/15/17,"120,120",50,278.57
6/16/17,"138,803",46,196.92
6/17/17,"448,633",108,287.78
6/18/17,"436,350",135,197.08
6/19/17,"418,489",149,213.00
6/20/17,"323,947",121,212.35
6/21/17,"323,037",88,237.25
6/22/17,"138,339",55,141.93
6/23/17,"143,570",60,153.19
6/24/17,"328,277",145,217.84
6/25/17,"426,393",142,198.54
6/26/17,"496,995",160,155.20
